trial,reading,readingCond,questionCond,instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,readingLoop.thisRepN,readingLoop.thisTrialN,readingLoop.thisN,readingLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,page,image,image_lexical,image_gibberish,probesLoop.thisRepN,probesLoop.thisTrialN,probesLoop.thisN,probesLoop.thisIndex,hash_code,wait_resp.started,wait_text.started,wait_resp.keys,wait_resp.rt,beginning_text.started,beginning_text.stopped,error_type,reading_image.started,reading_image.stopped,cross.started,cross.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_page_bottom.started,text_page_bottom.stopped,error_background.started,error_background.stopped,reading_image_error.started,reading_image_error.stopped,text_error_bottom.started,text_error_bottom.stopped,mouse_error.x,mouse_error.y,mouse_error.leftButton,mouse_error.midButton,mouse_error.rightButton,mouse_error.started,mouse_error.stopped,key_resp_error.keys,key_resp_error.rt,key_resp_error.started,key_resp_error.stopped,participant,session,type,is_tracker_connected,date,expName,psychopyVersion,frameRate,
3,Prisoners Dilemma,prisoners_dilemma.xlsx,questions/prisoners_dilemma_questions.xlsx,,,,,0,0,0,0,,,,,,,,,,,,,95518-5478,20.324858541949652,20.324858541949652,t,1.261744457995519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,eye tracking,False,2023_Oct_20_1456,MindlessReading,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60414087504614,None,control,33.78392762504518,None,31.79469541704748,33.836257333052345,x,0.5456182089401409,33.78392762504518,None,33.78392762504518,None,34.50773754203692,None,34.985002125031315,None,34.50773754203692,None,-185.0,57.0,0,0,0,0.4990363330580294,None,space,1.5342026250436902,34.985002125031315,None,,,,,,,,,
