,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
362,in,1192,901,40,25,1,1212.0,913.5,0.0173370319001386,0.0210526315789473,0
363,an,1256,909,42,17,1,1277.0,917.5,0.0117891816920943,0.0221052631578947,0
364,unknown,1321,902,153,24,1,1397.5,914.0,0.0166435506241331,0.0805263157894736,0
365,"script,",1499,901,143,31,1,1570.5,916.5,0.0214979195561719,0.0752631578947368,0
366,but,1672,902,64,24,1,1704.0,914.0,0.0166435506241331,0.0336842105263157,0
367,some,1763,908,83,18,1,1804.5,917.0,0.0124826629680998,0.0436842105263157,0
368,have,1,992,85,24,1,43.5,1004.0,0.0166435506241331,0.0447368421052631,0
369,extraneous,112,995,216,21,1,220.0,1005.5,0.0145631067961165,0.1136842105263157,0
370,writing,352,991,154,31,1,429.0,1006.5,0.0214979195561719,0.0810526315789473,0
371,in,532,991,40,25,1,552.0,1003.5,0.0173370319001386,0.0210526315789473,0
372,Latin,596,991,108,25,1,650.0,1003.5,0.0173370319001386,0.0568421052631578,0
373,script.,729,991,143,31,1,800.5,1006.5,0.0214979195561719,0.0752631578947368,0
374,Many,902,995,87,26,1,945.5,1008.0,0.0180305131761442,0.0457894736842105,0
375,pages,1012,998,108,24,1,1066.0,1010.0,0.0166435506241331,0.0568421052631578,0
376,contain,1146,991,152,25,1,1222.0,1003.5,0.0173370319001386,0.08,0
377,substantial,1323,991,236,25,1,1441.0,1003.5,0.0173370319001386,0.1242105263157894,0
378,drawings,1585,991,173,31,1,1671.5,1006.5,0.0214979195561719,0.0910526315789473,0
379,or,1784,999,39,17,1,1803.5,1007.5,0.0117891816920943,0.0205263157894736,0
380,charts,2,1082,128,24,1,66.0,1094.0,0.0166435506241331,0.0673684210526315,0
381,which,154,1081,110,25,1,209.0,1093.5,0.0173370319001386,0.0578947368421052,0
382,are,288,1089,62,17,1,319.0,1097.5,0.0117891816920943,0.0326315789473684,0
383,colored,376,1082,152,24,1,452.0,1094.0,0.0166435506241331,0.08,0
384,with,550,1081,88,25,1,594.0,1093.5,0.0173370319001386,0.0463157894736842,0
385,paint.,660,1081,124,31,1,722.0,1096.5,0.0214979195561719,0.0652631578947368,0
386,Based,815,1082,109,24,1,869.5,1094.0,0.0166435506241331,0.0573684210526315,0
387,on,948,1089,42,17,1,969.0,1097.5,0.0117891816920943,0.0221052631578947,0
388,modern,1012,1082,132,24,1,1078.0,1094.0,0.0166435506241331,0.0694736842105263,0
389,"analysis,",1168,1081,188,30,1,1262.0,1096.0,0.0208044382801664,0.0989473684210526,0
390,it,1390,1081,38,25,1,1409.0,1093.5,0.0173370319001386,0.02,0
391,has,1453,1082,63,24,1,1484.5,1094.0,0.0166435506241331,0.0331578947368421,0
392,been,1540,1082,88,24,1,1584.0,1094.0,0.0166435506241331,0.0463157894736842,0
393,determined,1651,1081,219,25,1,1760.5,1093.5,0.0173370319001386,0.1152631578947368,0
394,that,3,1172,83,24,1,44.5,1184.0,0.0166435506241331,0.0436842105263157,0
395,a,112,1179,19,17,1,121.5,1187.5,0.0117891816920943,0.01,0
396,quill,155,1171,106,31,1,208.0,1186.5,0.0214979195561719,0.0557894736842105,0
397,pen,286,1179,66,23,1,319.0,1190.5,0.0159500693481276,0.0347368421052631,0
398,and,376,1172,64,24,1,408.0,1184.0,0.0166435506241331,0.0336842105263157,0
399,iron,466,1171,84,25,1,508.0,1183.5,0.0173370319001386,0.0442105263157894,0
400,ink,576,1171,61,25,1,606.5,1183.5,0.0173370319001386,0.0321052631578947,0
401,were,660,1179,86,17,1,703.0,1187.5,0.0117891816920943,0.0452631578947368,0
402,used,771,1172,87,24,1,814.5,1184.0,0.0166435506241331,0.0457894736842105,0
403,for,883,1173,60,23,1,913.0,1184.5,0.0159500693481276,0.031578947368421,0
404,the,971,1172,61,24,1,1001.5,1184.0,0.0166435506241331,0.0321052631578947,0
405,text,1059,1175,83,21,1,1100.5,1185.5,0.0145631067961165,0.0436842105263157,0
406,and,1168,1172,64,24,1,1200.0,1184.0,0.0166435506241331,0.0336842105263157,0
407,figure,1257,1171,127,31,1,1320.5,1186.5,0.0214979195561719,0.0668421052631579,0
408,outlines;,1410,1171,189,29,1,1504.5,1185.5,0.0201109570041608,0.0994736842105263,0
409,the,1631,1172,61,24,1,1661.5,1184.0,0.0166435506241331,0.0321052631578947,0
410,colored,1718,1172,152,24,1,1794.0,1184.0,0.0166435506241331,0.08,0
411,paint,0,1261,108,31,1,54.0,1276.5,0.0214979195561719,0.0568421052631578,0
412,was,132,1268,64,18,1,164.0,1277.0,0.0124826629680998,0.0336842105263157,0
413,applied,222,1261,152,31,1,298.0,1276.5,0.0214979195561719,0.08,0
414,(somewhat,406,1262,186,27,1,499.0,1275.5,0.0187239944521497,0.0978947368421052,0
415,crudely),618,1262,164,29,1,700.0,1276.5,0.0201109570041608,0.0863157894736842,0
416,to,817,1265,39,21,1,836.5,1275.5,0.0145631067961165,0.0205263157894736,0
417,the,883,1262,61,24,1,913.5,1274.0,0.0166435506241331,0.0321052631578947,0
418,"figures,",971,1261,165,31,1,1053.5,1276.5,0.0214979195561719,0.0868421052631579,0
419,possibly,1166,1261,175,31,1,1253.5,1276.5,0.0214979195561719,0.0921052631578947,0
420,at,1366,1265,40,21,1,1386.0,1275.5,0.0145631067961165,0.0210526315789473,0
421,a,1432,1269,19,17,1,1441.5,1277.5,0.0117891816920943,0.01,0
422,later,1477,1262,104,24,1,1529.0,1274.0,0.0166435506241331,0.0547368421052631,0
423,date.,1607,1262,101,24,1,1657.5,1274.0,0.0166435506241331,0.0531578947368421,0
424,The,1740,1262,62,24,1,1771.0,1274.0,0.0166435506241331,0.0326315789473684,0
425,bulk,0,1352,87,24,1,43.5,1364.0,0.0166435506241331,0.0457894736842105,0
426,of,112,1353,39,23,1,131.5,1364.5,0.0159500693481276,0.0205263157894736,0
427,the,179,1352,61,24,1,209.5,1364.0,0.0166435506241331,0.0321052631578947,0
428,text,267,1355,83,21,1,308.5,1365.5,0.0145631067961165,0.0436842105263157,0
429,in,378,1351,40,25,1,398.0,1363.5,0.0173370319001386,0.0210526315789473,0
430,the,443,1352,61,24,1,473.5,1364.0,0.0166435506241331,0.0321052631578947,0
431,manuscript,528,1351,218,31,1,637.0,1366.5,0.0214979195561719,0.1147368421052631,0
432,is,774,1351,38,25,1,793.0,1363.5,0.0173370319001386,0.02,0
433,written,836,1351,154,25,1,913.0,1363.5,0.0173370319001386,0.0810526315789473,0
434,in,1016,1351,40,25,1,1036.0,1363.5,0.0173370319001386,0.0210526315789473,0
435,an,1080,1359,42,17,1,1101.0,1367.5,0.0117891816920943,0.0221052631578947,0
436,unknown,1145,1352,153,24,1,1221.5,1364.0,0.0166435506241331,0.0805263157894736,0
437,"script,",1323,1351,143,31,1,1394.5,1366.5,0.0214979195561719,0.0752631578947368,0
438,running,1498,1351,152,31,1,1574.0,1366.5,0.0214979195561719,0.08,0
439,left,1675,1352,83,24,1,1716.5,1364.0,0.0166435506241331,0.0436842105263157,0
440,to,1785,1355,39,21,1,1804.5,1365.5,0.0145631067961165,0.0205263157894736,0
441,right.,2,0,122,31,2,63.0,15.5,0.0214979195561719,0.0642105263157894,0
442,Most,154,4,86,21,2,197.0,14.5,0.0145631067961165,0.0452631578947368,0
443,of,266,2,39,23,2,285.5,13.5,0.0159500693481276,0.0205263157894736,0
444,the,333,1,61,24,2,363.5,13.0,0.0166435506241331,0.0321052631578947,0
445,characters,420,1,216,24,2,528.0,13.0,0.0166435506241331,0.1136842105263157,0
446,are,662,8,62,17,2,693.0,16.5,0.0117891816920943,0.0326315789473684,0
447,composed,750,1,174,30,2,837.0,16.0,0.0208044382801664,0.091578947368421,0
448,of,948,2,39,23,2,967.5,13.5,0.0159500693481276,0.0205263157894736,0
449,one,1014,8,62,17,2,1045.0,16.5,0.0117891816920943,0.0326315789473684,0
450,or,1102,8,39,17,2,1121.5,16.5,0.0117891816920943,0.0205263157894736,0
451,two,1169,4,61,21,2,1199.5,14.5,0.0145631067961165,0.0321052631578947,0
452,simple,1257,0,127,31,2,1320.5,15.5,0.0214979195561719,0.0668421052631579,0
453,pen,1408,8,66,23,2,1441.0,19.5,0.0159500693481276,0.0347368421052631,0
454,strokes.,1499,1,165,24,2,1581.5,13.0,0.0166435506241331,0.0868421052631579,0
455,While,1694,0,108,25,2,1748.0,12.5,0.0173370319001386,0.0568421052631578,0
456,there,3,91,105,24,2,55.5,103.0,0.0166435506241331,0.0552631578947368,0
457,is,136,90,38,25,2,155.0,102.5,0.0173370319001386,0.02,0
458,some,201,97,83,18,2,242.5,106.0,0.0124826629680998,0.0436842105263157,0
459,dispute,309,90,151,31,2,384.5,105.5,0.0214979195561719,0.0794736842105263,0
460,as,486,97,40,18,2,506.0,106.0,0.0124826629680998,0.0210526315789473,0
461,to,553,94,39,21,2,572.5,104.5,0.0145631067961165,0.0205263157894736,0
462,whether,616,91,151,24,2,691.5,103.0,0.0166435506241331,0.0794736842105263,0
463,certain,794,90,152,25,2,870.0,102.5,0.0173370319001386,0.08,0
464,characters,970,91,216,24,2,1078.0,103.0,0.0166435506241331,0.1136842105263157,0
465,are,1212,98,62,17,2,1243.0,106.5,0.0117891816920943,0.0326315789473684,0
466,distinct,1299,90,173,25,2,1385.5,102.5,0.0173370319001386,0.0910526315789473,0
467,or,1498,98,39,17,2,1517.5,106.5,0.0117891816920943,0.0205263157894736,0
468,"not,",1563,94,79,25,2,1602.5,106.5,0.0173370319001386,0.041578947368421,0
469,a,1674,98,19,17,2,1683.5,106.5,0.0117891816920943,0.01,0
470,script,1719,90,127,31,2,1782.5,105.5,0.0214979195561719,0.0668421052631579,0
471,of,2,182,39,23,2,21.5,193.5,0.0159500693481276,0.0205263157894736,0
472,20-25,68,184,105,21,2,120.5,194.5,0.0145631067961165,0.0552631578947368,0
473,characters,200,181,216,24,2,308.0,193.0,0.0166435506241331,0.1136842105263157,0
474,would,440,181,110,24,2,495.0,193.0,0.0166435506241331,0.0578947368421052,0
475,account,574,184,150,21,2,649.0,194.5,0.0145631067961165,0.0789473684210526,0
476,for,751,182,60,23,2,781.0,193.5,0.0159500693481276,0.031578947368421,0
477,virtually,836,180,197,30,2,934.5,195.0,0.0208044382801664,0.1036842105263158,0
478,all,1058,181,61,24,2,1088.5,193.0,0.0166435506241331,0.0321052631578947,0
479,of,1146,182,39,23,2,1165.5,193.5,0.0159500693481276,0.0205263157894736,0
480,the,1213,181,61,24,2,1243.5,193.0,0.0166435506241331,0.0321052631578947,0
481,text;,1301,184,100,25,2,1351.0,196.5,0.0173370319001386,0.0526315789473684,0
482,the,1433,181,61,24,2,1463.5,193.0,0.0166435506241331,0.0321052631578947,0
483,exceptions,1520,180,216,31,2,1628.0,195.5,0.0214979195561719,0.1136842105263157,0
484,are,1762,188,62,17,2,1793.0,196.5,0.0117891816920943,0.0326315789473684,0
485,a,1850,188,19,17,2,1859.5,196.5,0.0117891816920943,0.01,0
486,few,3,272,63,23,2,34.5,283.5,0.0159500693481276,0.0331578947368421,0
487,dozen,89,271,109,24,2,143.5,283.0,0.0166435506241331,0.0573684210526315,0
488,rarer,222,278,105,17,2,274.5,286.5,0.0117891816920943,0.0552631578947368,0
489,characters,354,271,216,24,2,462.0,283.0,0.0166435506241331,0.1136842105263157,0
490,that,597,271,83,24,2,638.5,283.0,0.0166435506241331,0.0436842105263157,0
491,occur,706,278,105,17,2,758.5,286.5,0.0117891816920943,0.0552631578947368,0
492,only,838,271,85,29,2,880.5,285.5,0.0201109570041608,0.0447368421052631,0
