,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
414,train,1059,1351,107,25,1,1112.5,1363.5,0.017337031900138695,0.05631578947368421,0
415,the,1191,1352,61,24,1,1221.5,1364.0,0.016643550624133148,0.032105263157894734,0
416,shoulders.,1279,1352,209,24,1,1383.5,1364.0,0.016643550624133148,0.11,0
417,While,1518,1351,108,25,1,1572.0,1363.5,0.017337031900138695,0.056842105263157895,0
418,"lunging,",1653,1351,165,31,1,1735.5,1366.5,0.021497919556171984,0.0868421052631579,0
419,halteres,1,1,173,24,2,87.5,13.0,0.016643550624133148,0.09105263157894737,0
420,were,198,8,86,17,2,241.0,16.5,0.011789181692094313,0.045263157894736845,0
421,held,309,1,87,24,2,352.5,13.0,0.016643550624133148,0.045789473684210526,0
422,out,420,4,62,21,2,451.0,14.5,0.014563106796116505,0.03263157894736842,0
423,front,509,2,105,23,2,561.5,13.5,0.0159500693481276,0.05526315789473684,0
424,with,638,0,88,25,2,682.0,12.5,0.017337031900138695,0.04631578947368421,0
425,both,748,1,88,24,2,792.0,13.0,0.016643550624133148,0.04631578947368421,0
426,arms,860,7,84,18,2,902.0,16.0,0.012482662968099861,0.04421052631578947,0
427,stretched,971,1,195,24,2,1068.5,13.0,0.016643550624133148,0.10263157894736842,0
428,at,1190,4,40,21,2,1210.0,14.5,0.014563106796116505,0.021052631578947368,0
429,full,1257,1,82,24,2,1298.0,13.0,0.016643550624133148,0.0431578947368421,0
430,length,1367,1,129,30,2,1431.5,16.0,0.020804438280166437,0.06789473684210526,0
431,(modern,1528,1,144,27,2,1600.0,14.5,0.01872399445214979,0.07578947368421053,0
432,lunges,1697,1,127,30,2,1760.5,16.0,0.020804438280166437,0.0668421052631579,0
433,are,2,98,62,17,2,33.0,106.5,0.011789181692094313,0.03263157894736842,0
434,performed,88,91,198,30,2,187.0,106.0,0.020804438280166437,0.10421052631578948,0
435,with,308,90,88,25,2,352.0,102.5,0.017337031900138695,0.04631578947368421,0
436,the,421,91,61,24,2,451.5,103.0,0.016643550624133148,0.032105263157894734,0
437,dumbbells,507,91,195,24,2,604.5,103.0,0.016643550624133148,0.10263157894736842,0
438,hanging,727,90,153,31,2,803.5,105.5,0.021497919556171984,0.08052631578947368,0
439,at,904,94,40,21,2,924.0,104.5,0.014563106796116505,0.021052631578947368,0
440,the,971,91,61,24,2,1001.5,103.0,0.016643550624133148,0.032105263157894734,0
441,side,1059,90,83,25,2,1100.5,102.5,0.017337031900138695,0.04368421052631579,0
442,of,1168,92,39,23,2,1187.5,103.5,0.0159500693481276,0.020526315789473684,0
443,the,1235,91,61,24,2,1265.5,103.0,0.016643550624133148,0.032105263157894734,0
444,body).,1320,91,124,29,2,1382.0,105.5,0.02011095700416089,0.06526315789473684,0
445,"Third,",1476,90,122,29,2,1537.0,104.5,0.02011095700416089,0.06421052631578947,0
446,deadlifts:,1629,90,211,25,2,1734.5,102.5,0.017337031900138695,0.11105263157894738,0
447,users,1,187,107,18,2,54.5,196.0,0.012482662968099861,0.05631578947368421,0
448,picked,132,180,132,31,2,198.0,195.5,0.021497919556171984,0.06947368421052631,0
449,up,287,188,42,23,2,308.0,199.5,0.0159500693481276,0.022105263157894735,0
450,each,354,181,86,24,2,397.0,193.0,0.016643550624133148,0.045263157894736845,0
451,haltere,463,181,151,24,2,538.5,193.0,0.016643550624133148,0.07947368421052632,0
452,with,638,180,88,25,2,682.0,192.5,0.017337031900138695,0.04631578947368421,0
453,the,751,181,61,24,2,781.5,193.0,0.016643550624133148,0.032105263157894734,0
454,respective,838,180,216,31,2,946.0,195.5,0.021497919556171984,0.11368421052631579,0
455,hand,1079,181,87,24,2,1122.5,193.0,0.016643550624133148,0.045789473684210526,0
456,while,1188,180,108,25,2,1242.0,192.5,0.017337031900138695,0.056842105263157895,0
457,bending,1320,180,154,31,2,1397.0,195.5,0.021497919556171984,0.08105263157894736,0
458,the,1499,181,61,24,2,1529.5,193.0,0.016643550624133148,0.032105263157894734,0
459,lower,1587,181,104,24,2,1639.0,193.0,0.016643550624133148,0.05473684210526316,0
460,back,1716,181,87,24,2,1759.5,193.0,0.016643550624133148,0.045789473684210526,0
461,and,1828,181,64,24,2,1860.0,193.0,0.016643550624133148,0.03368421052631579,0
462,then,3,271,85,24,2,45.5,283.0,0.016643550624133148,0.04473684210526316,0
463,straightening,113,270,283,31,2,254.5,285.5,0.021497919556171984,0.14894736842105263,0
464,it.,422,270,54,25,2,449.0,282.5,0.017337031900138695,0.028421052631578948,0
