,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
497,in,510,450,40,25,2,530.0,462.5,0.017337031900138695,0.021052631578947368,0
498,"1916,",575,454,99,25,2,624.5,466.5,0.017337031900138695,0.05210526315789474,0
499,but,704,451,64,24,2,736.0,463.0,0.016643550624133148,0.03368421052631579,0
500,to,795,454,39,21,2,814.5,464.5,0.014563106796116505,0.020526315789473684,0
501,no,859,458,41,17,2,879.5,466.5,0.011789181692094313,0.02157894736842105,0
502,avail.,926,450,122,25,2,987.0,462.5,0.017337031900138695,0.06421052631578947,0
503,Unknown,1078,451,154,24,2,1155.0,463.0,0.016643550624133148,0.08105263157894736,0
504,to,1257,454,39,21,2,1276.5,464.5,0.014563106796116505,0.020526315789473684,0
505,"Lowell,",1322,451,144,28,2,1394.0,465.0,0.019417475728155338,0.07578947368421053,0
506,his,1497,450,63,25,2,1528.5,462.5,0.017337031900138695,0.03315789473684211,0
507,surveys,1587,457,149,23,2,1661.5,468.5,0.0159500693481276,0.07842105263157895,0
508,had,1761,451,65,24,2,1793.5,463.0,0.016643550624133148,0.034210526315789476,0
509,captured,2,541,174,30,2,89.0,556.0,0.020804438280166437,0.09157894736842105,0
510,two,201,544,61,21,2,231.5,554.5,0.014563106796116505,0.032105263157894734,0
511,faint,289,540,105,25,2,341.5,552.5,0.017337031900138695,0.05526315789473684,0
512,images,422,540,126,31,2,485.0,555.5,0.021497919556171984,0.06631578947368422,0
513,of,574,542,39,23,2,593.5,553.5,0.0159500693481276,0.020526315789473684,0
514,Pluto,640,541,106,24,2,693.0,553.0,0.016643550624133148,0.05578947368421053,0
515,on,772,548,42,17,2,793.0,556.5,0.011789181692094313,0.022105263157894735,0
516,19,839,544,38,21,2,858.0,554.5,0.014563106796116505,0.02,0
517,March,902,541,110,24,2,957.0,553.0,0.016643550624133148,0.05789473684210526,0
518,and,1036,541,64,24,2,1068.0,553.0,0.016643550624133148,0.03368421052631579,0
519,7,1125,544,16,21,2,1133.0,554.5,0.014563106796116505,0.008421052631578947,0
