,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
2039,directors,1101,630,195,25,9,1198.5,642.5,0.017337031900138695,0.10263157894736842,0
2040,and,1322,631,64,24,9,1354.0,643.0,0.016643550624133148,0.03368421052631579,0
2041,writers,1408,630,152,25,9,1484.0,642.5,0.017337031900138695,0.08,0
2042,were,1584,638,86,17,9,1627.0,646.5,0.011789181692094313,0.045263157894736845,0
2043,introduced,4,721,216,25,9,112.0,733.5,0.017337031900138695,0.11368421052631579,0
2044,to,245,725,39,21,9,264.5,735.5,0.014563106796116505,0.020526315789473684,0
2045,cinema,310,721,129,25,9,374.5,733.5,0.017337031900138695,0.06789473684210526,0
2046,as,464,728,40,18,9,484.0,737.0,0.012482662968099861,0.021052631578947368,0
2047,producers,528,722,196,30,9,626.0,737.0,0.020804438280166437,0.1031578947368421,0
2048,sought,751,722,127,30,9,814.5,737.0,0.020804438280166437,0.0668421052631579,0
2049,personnel,902,722,195,30,9,999.5,737.0,0.020804438280166437,0.10263157894736842,0
2050,experienced,1124,721,240,31,9,1244.0,736.5,0.021497919556171984,0.12631578947368421,0
2051,in,1390,721,40,25,9,1410.0,733.5,0.017337031900138695,0.021052631578947368,0
2052,dialogue-based,1453,721,307,31,9,1606.5,736.5,0.021497919556171984,0.16157894736842104,0
2053,storytelling.,3,811,275,31,9,140.5,826.5,0.021497919556171984,0.14473684210526316,0
2054,Many,308,815,87,26,9,351.5,828.0,0.018030513176144243,0.045789473684210526,0
2055,major,418,811,107,31,9,471.5,826.5,0.021497919556171984,0.05631578947368421,0
2056,silent,553,811,127,25,9,616.5,823.5,0.017337031900138695,0.0668421052631579,0
2057,filmmakers,707,811,215,25,9,814.5,823.5,0.017337031900138695,0.11315789473684211,0
2058,and,948,812,64,24,9,980.0,824.0,0.016643550624133148,0.03368421052631579,0
2059,actors,1036,815,128,21,9,1100.0,825.5,0.014563106796116505,0.06736842105263158,0
2060,were,1188,819,86,17,9,1231.0,827.5,0.011789181692094313,0.045263157894736845,0
2061,unable,1299,812,129,24,9,1363.5,824.0,0.016643550624133148,0.06789473684210526,0
2062,to,1455,815,39,21,9,1474.5,825.5,0.014563106796116505,0.020526315789473684,0
2063,adjust,1520,811,128,31,9,1584.0,826.5,0.021497919556171984,0.06736842105263158,0
2064,and,1674,812,64,24,9,1706.0,824.0,0.016643550624133148,0.03368421052631579,0
2065,found,1763,812,107,24,9,1816.5,824.0,0.016643550624133148,0.05631578947368421,0
2066,their,3,901,104,25,9,55.0,913.5,0.017337031900138695,0.05473684210526316,0
2067,careers,134,908,150,18,9,209.0,917.0,0.012482662968099861,0.07894736842105263,0
2068,severely,311,902,172,29,9,397.0,916.5,0.02011095700416089,0.09052631578947369,0
2069,curtailed,508,901,196,25,9,606.0,913.5,0.017337031900138695,0.1031578947368421,0
2070,or,728,909,39,17,9,747.5,917.5,0.011789181692094313,0.020526315789473684,0
2071,even,794,909,86,17,9,837.0,917.5,0.011789181692094313,0.045263157894736845,0
2072,ended.,904,902,122,24,9,965.0,914.0,0.016643550624133148,0.06421052631578947,0
2073,This,1058,901,84,25,9,1100.0,913.5,0.017337031900138695,0.04421052631578947,0
2074,awkward,1168,902,152,24,9,1244.0,914.0,0.016643550624133148,0.08,0
2075,period,1342,901,132,31,9,1408.0,916.5,0.021497919556171984,0.06947368421052631,0
2076,was,1496,908,64,18,9,1528.0,917.0,0.012482662968099861,0.03368421052631579,0
2077,fairly,1587,901,128,30,9,1651.0,916.0,0.020804438280166437,0.06736842105263158,0
2078,short-,1741,902,123,24,9,1802.5,914.0,0.016643550624133148,0.06473684210526316,0
2079,lived.,3,991,121,25,9,63.5,1003.5,0.017337031900138695,0.06368421052631579,0
2080,1929,157,995,82,21,9,198.0,1005.5,0.014563106796116505,0.0431578947368421,0
2081,was,264,998,64,18,9,296.0,1007.0,0.012482662968099861,0.03368421052631579,0
2082,a,354,999,19,17,9,363.5,1007.5,0.011789181692094313,0.01,0
2083,watershed,396,992,198,24,9,495.0,1004.0,0.016643550624133148,0.10421052631578948,0
2084,year:,616,999,102,22,9,667.0,1010.0,0.015256588072122053,0.05368421052631579,0
2085,William,748,991,154,25,9,825.0,1003.5,0.017337031900138695,0.08105263157894736,0
2086,Wellman,924,992,154,24,9,1001.0,1004.0,0.016643550624133148,0.08105263157894736,0
2087,with,1100,991,88,25,9,1144.0,1003.5,0.017337031900138695,0.04631578947368421,0
2088,"""Chinatown",1215,991,215,25,9,1322.5,1003.5,0.017337031900138695,0.11315789473684211,0
2089,"Nights""",1452,991,149,31,9,1526.5,1006.5,0.021497919556171984,0.07842105263157895,0
2090,and,1630,992,64,24,9,1662.0,1004.0,0.016643550624133148,0.03368421052631579,0
2091,"""The",1721,992,81,24,9,1761.5,1004.0,0.016643550624133148,0.04263157894736842,0
2092,Man,1826,995,66,21,9,1859.0,1005.5,0.014563106796116505,0.034736842105263156,0
2093,I,3,1085,16,21,9,11.0,1095.5,0.014563106796116505,0.008421052631578947,0
2094,"Love"",",46,1085,122,25,9,107.0,1097.5,0.017337031900138695,0.06421052631578947,0
2095,Rouben,199,1082,131,24,9,264.5,1094.0,0.016643550624133148,0.06894736842105263,0
2096,Mamoulian,352,1081,198,25,9,451.0,1093.5,0.017337031900138695,0.10421052631578948,0
2097,with,572,1081,88,25,9,616.0,1093.5,0.017337031900138695,0.04631578947368421,0
2098,"""Applause"",",687,1082,229,30,9,801.5,1097.0,0.020804438280166437,0.12052631578947369,0
2099,Alfred,946,1082,132,24,9,1012.0,1094.0,0.016643550624133148,0.06947368421052631,0
2100,Hitchcock,1101,1081,196,25,9,1199.0,1093.5,0.017337031900138695,0.1031578947368421,0
2101,with,1320,1081,88,25,9,1364.0,1093.5,0.017337031900138695,0.04631578947368421,0
2102,"""Blackmail""",1435,1081,232,25,9,1551.0,1093.5,0.017337031900138695,0.12210526315789473,0
2103,(Britain's,10,1171,208,28,9,114.0,1185.0,0.019417475728155338,0.10947368421052632,0
2104,first,245,1171,105,25,9,297.5,1183.5,0.017337031900138695,0.05526315789473684,0
2105,sound,377,1172,107,24,9,430.5,1184.0,0.016643550624133148,0.05631578947368421,0
2106,"feature),",509,1172,187,28,9,602.5,1186.0,0.019417475728155338,0.09842105263157895,0
2107,were,726,1179,86,17,9,769.0,1187.5,0.011789181692094313,0.045263157894736845,0
2108,among,838,1179,108,23,9,892.0,1190.5,0.0159500693481276,0.056842105263157895,0
2109,the,971,1172,61,24,9,1001.5,1184.0,0.016643550624133148,0.032105263157894734,0
2110,directors,1057,1171,195,25,9,1154.5,1183.5,0.017337031900138695,0.10263157894736842,0
2111,to,1279,1175,39,21,9,1298.5,1185.5,0.014563106796116505,0.020526315789473684,0
2112,bring,1342,1171,110,31,9,1397.0,1186.5,0.021497919556171984,0.05789473684210526,0
2113,greater,1476,1175,149,27,9,1550.5,1188.5,0.01872399445214979,0.07842105263157895,0
2114,fluidity,1653,1171,172,30,9,1739.0,1186.0,0.020804438280166437,0.09052631578947369,0
2115,to,1851,1175,39,21,9,1870.5,1185.5,0.014563106796116505,0.020526315789473684,0
2116,talkies,3,1261,149,25,9,77.5,1273.5,0.017337031900138695,0.07842105263157895,0
2117,and,178,1262,64,24,9,210.0,1274.0,0.016643550624133148,0.03368421052631579,0
2118,experiment,266,1261,216,31,9,374.0,1276.5,0.021497919556171984,0.11368421052631579,0
2119,with,506,1261,88,25,9,550.0,1273.5,0.017337031900138695,0.04631578947368421,0
2120,the,619,1262,61,24,9,649.5,1274.0,0.016643550624133148,0.032105263157894734,0
2121,expressive,706,1261,216,31,9,814.0,1276.5,0.021497919556171984,0.11368421052631579,0
2122,use,947,1268,63,18,9,978.5,1277.0,0.012482662968099861,0.03315789473684211,0
2123,of,1036,1263,39,23,9,1055.5,1274.5,0.0159500693481276,0.020526315789473684,0
2124,sound.,1103,1262,121,24,9,1163.5,1274.0,0.016643550624133148,0.06368421052631579,0
2125,In,1257,1265,41,21,9,1277.5,1275.5,0.014563106796116505,0.02157894736842105,0
2126,"this,",1323,1261,99,29,9,1372.5,1275.5,0.02011095700416089,0.05210526315789474,0
